3327	3071	512	3276	3069	688
3583	3071	512	3517	3075	692
3839	3071	512	3759	3082	696
4095	3071	512	4001	3089	700
0	3327	512	883	3285	684
256	3327	512	908	3285	684
512	3327	512	987	3286	684
768	3327	512	1117	3286	688
1024	3327	512	1284	3288	688
1280	3327	512	1473	3289	688
1536	3327	512	1680	3291	688
1792	3327	512	1897	3294	692
2048	3327	512	2120	3296	696
2303	3327	512	2347	3300	696
2559	3327	512	2579	3304	700
2815	3327	512	2815	3308	704
3071	3327	512	3052	3313	707
3327	3327	512	3290	3318	711
3583	3327	512	3529	3324	715
3839	3327	512	3770	3330	718
4095	3327	512	4011	3337	726
0	3583	512	951	3538	711
256	3583	512	972	3538	711
512	3583	512	1047	3539	711
768	3583	512	1170	3539	711
1024	3583	512	1328	3540	715
1280	3583	512	1511	3542	715
1536	3583	512	1712	3544	715
1792	3583	512	1924	3546	718
2048	3583	512	2145	3548	718
2303	3583	512	2370	3552	722
2559	3583	512	2599	3555	726
2815	3583	512	2832	3559	729
3071	3583	512	3067	3564	733
3327	3583	512	3304	3568	737
3583	3583	512	3543	3573	740
3839	3583	512	3783	3579	744
4095	3583	512	4023	3585	751
0	3839	512	1019	3791	740
256	3839	512	1038	3791	740
512	3839	512	1108	3791	740
768	3839	512	1223	3792	740
1024	3839	512	1375	3793	740
1280	3839	512	1551	3794	740
1536	3839	512	1746	3796	744
1792	3839	512	1954	3798	744
2048	3839	512	2170	3801	747
2303	3839	512	2392	3803	751
2559	3839	512	2620	3806	751
2815	3839	512	2851	3810	754
3071	3839	512	3084	3814	758
3327	3839	512	3320	3818	761
3583	3839	512	3557	3823	764
3839	3839	512	3796	3829	771
4095	3839	512	4035	3835	775
0	4095	512	1086	4044	768
256	4095	512	1104	4044	768
512	4095	512	1170	4044	768
768	4095	512	1278	4045	768
1024	4095	512	1423	4046	768
1280	4095	512	1593	4047	771
1536	4095	512	1783	4048	771
1792	4095	512	1986	4050	771
2048	4095	512	2198	4052	775
2303	4095	512	2417	4055	778
2559	4095	512	2642	4058	778
2815	4095	512	2871	4061	781
3071	4095	512	3103	4065	785
3327	4095	512	3337	4069	788
3583	4095	512	3573	4074	794
3839	4095	512	3810	4079	798
4095	4095	512	4049	4084	801
0	0	768	154	93	761
256	0	768	278	93	761
512	0	768	505	128	761
768	0	768	751	154	764
1024	0	768	992	194	764
1280	0	768	1239	226	764
1536	0	768	1484	278	764
1792	0	768	1730	320	768
2048	0	768	1976	365	771
2303	0	768	2221	403	771
2559	0	768	2468	451	775
2815	0	768	2714	494	778
3071	0	768	2961	537	781
3327	0	768	3207	582	785
3583	0	768	3454	627	788
3839	0	768	3700	673	791
4095	0	768	3947	718	798
0	256	768	154	266	761
256	256	768	289	266	761
512	256	768	511	266	764
768	256	768	751	289	764
1024	256	768	995	310	764
1280	256	768	1239	329	764
1536	256	768	1484	365	768
1792	256	768	1731	396	768
2048	256	768	1977	432	771
2303	256	768	2222	464	771
2559	256	768	2468	505	775
2815	256	768	2714	543	778
3071	256	768	2961	582	781
3327	256	768	3207	623	785
3583	256	768	3454	665	788
3839	256	768	3701	707	791
4095	256	768	3947	751	798
0	512	768	194	511	764
256	512	768	300	511	764
512	512	768	522	516	764
768	512	768	758	522	764
1024	512	768	1000	532	764
1280	512	768	1243	548	768
1536	512	768	1487	563	768
1792	512	768	1732	582	771
2048	512	768	1978	605	771
2303	512	768	2224	631	775
2559	512	768	2470	657	778
2815	512	768	2716	684	778
3071	512	768	2962	715	781
3327	512	768	3208	747	785
3583	512	768	3455	781	791
3839	512	768	3702	817	794
4095	512	768	3948	854	798
0	768	768	240	761	768
256	768	768	339	761	768
512	768	768	537	764	768
768	768	768	768	768	768
1024	768	768	1007	775	768
1280	768	768	1248	785	771
1536	768	768	1492	794	771
1792	768	768	1737	807	771
2048	768	768	1982	823	775
2303	768	768	2227	841	778
2559	768	768	2472	859	778
2815	768	768	2718	880	781
3071	768	768	2965	905	785
3327	768	768	3210	930	788
3583	768	768	3457	956	794
3839	768	768	3703	982	798
